models,res,inst_id_hist,inst_id_ssp,vl,gl,n_files_h,n_files_f,swe_h,swe_ssp245,swe_ssp370,swe_ssp585,node,dataroot_hist,dataroot_ssp,path_hist,path_ssp,lat_res,lon_res,lat_length,lon_length,X,year,,true_daily
EC-Earth3,100,EC-Earth-Consortium,EC-Earth-Consortium,r1i1p1f1,gr,35,86,20210324,20210324,20210324,20210324,esgf-data1.llnl.gov,css03_data,css03_data,CMIP6/CMIP,CMIP6/ScenarioMIP,0.703125,0.703125,NA,NA,,19800101-19801231,,yes
GFDL-ESM4,100,NOAA-GFDL,NOAA-GFDL,r1i1p1f1,gr1,3,5,20190726,20180701,20180701,20180701,esgf.ceda.ac.uk,esg_cmip6,esg_cmip6,CMIP6/CMIP,CMIP6/ScenarioMIP,1,1.25,NA,NA,,19700101-19891231,,yes
INM-CM4-8,100,INM,INM,r1i1p1f1,gr1,2,2,20190530,20190603,20190603,20190603,esgf-data1.llnl.gov,css03_data,css03_data,CMIP6/CMIP,CMIP6/ScenarioMIP,1.5,2,NA,NA,,19500101-19991231,,yes
INM-CM5-0,100,INM,INM,r1i1p1f1,gr1,2,2,20190610,20190619,20190618,20190724,esgf-data1.llnl.gov,css03_data,css03_data,CMIP6/CMIP,CMIP6/ScenarioMIP,1.5,2,NA,NA,,19500101-19991231,,yes
MPI-ESM1-2-HR,100,MPI-M,DKRZ,r1i1p1f1,gn,7,18,20190710,20190710,20190710,20190710,esgf3.dkrz.de,cmip6,cmip6,CMIP,ScenarioMIP,0.9375,0.9375,NA,NA,,19800101-19841231,,yes
ACCESS-ESM1-5,250,CSIRO,CSIRO,r1i1p1f1,gn,2,2,20191115,20200219,20200219,20210318,esgf-data1.llnl.gov,css03_data,css03_data,CMIP6/CMIP,CMIP6/ScenarioMIP,1.24137931,1.875,12,15,,19500101-19991231,,yes
IPSL-CM6A-LR,250,IPSL,IPSL,r1i1p1f1,gr,1,1,20180803,20190119,20190119,20190903,esgf.ceda.ac.uk,esg_cmip6,esg_cmip6,CMIP6/CMIP,CMIP6/ScenarioMIP,1.258741259,2.5,12,12,,18500101-20141231,,yes
MIROC6,250,MIROC,MIROC,r1i1p1f1,gn,4,9,20191016,20191016,20191016,20191016,esgf-data02.diasjp.net,esg_dataroot,esg_dataroot,CMIP6/CMIP,/CMIP6/ScenarioMIP,1.40625,1.40625,11,18,ScenarioMIP/ssp370/t2/aa005r-day/CMIP6/ScenarioMIP,19800101-19891231,,yes
AWI-CM-1-1-MR,100,AWI,AWI,r1i1p1f1,gn,34,86,20181218,20190529,20190529,20190529,esgf3.dkrz.de,cmip6,cmip6,CMIP,ScenarioMIP,0.927224,0.9375,,,,19810101-19811231,,yes
BCC-CSM2-MR,100,BCC,BCC,r1i1p1f1,gn,2,4,20181114,20190308,20190308,20190308,esgf3.dkrz.de,cmip6,cmip6,CMIP,ScenarioMIP,1.112091,1.125,,,,19620101-19891231,,yes
MIROC-ES2H,250,MIROC,MIROC,r1i1p4f2,gn,34,86,20230904,20230904,20230904,20230904,esgf-data02.diasjp.net,esg_dataroot,esg_dataroot,CMIP6/CMIP,CMIP6/ScenarioMIP,1.38903,1.40625,,,,19810101-19811231,,yes
MPI-ESM1-2-LR,250,MPI-M,MPI-M,r1i1p1f1,gn,3,5,20190710,20190710,20190710,20190710,esgf-data1.llnl.gov,css03_data,css03_data,CMIP6/CMIP,CMIP6/ScenarioMIP,1.849638,1.875,,,,19700101-19891231,,yes
MRI-ESM2-0,100,MRI,MRI,r1i1p1f1,gn,2,2,20190603,20190603,20190603,20191108,esgf3.dkrz.de,cmip6,cmip6,CMIP,ScenarioMIP,1.11209,1.125,,,,19500101-19991231,,yes
UKESM1-0-LL,250,MOHC,MOHC,r1i1p1f2,gn,1,2,20190627,20190715,20190726,20190726,esgf.ceda.ac.uk,esg_cmip6,esg_cmip6,CMIP6/CMIP,CMIP6/ScenarioMIP,1.25,1.875,,,,19500101-20141230,,yes
